City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
187,Fortuna,US,40.5982,-124.1573,60.85,58,0,25.32,clear sky
188,Faya,SA,18.3851,42.4509,64.51,47,0,1.95,clear sky
189,Te Anau,NZ,-45.4167,167.7167,47.53,81,30,1.07,scattered clouds
190,Upernavik,GL,72.7868,-56.1549,1.38,94,66,5.77,broken clouds
191,Bardiyah,LY,31.7561,25.0865,62.58,66,88,7.92,overcast clouds
192,Nexo,DK,55.0607,15.1306,41.09,77,48,27.31,scattered clouds
193,Kulu,TR,39.0951,33.0799,56.57,51,100,6.04,overcast clouds
194,Kaseda,JP,31.4167,130.3167,59.09,81,0,6.44,clear sky
195,Port Elizabeth,ZA,-33.918,25.5701,65.1,96,100,9.22,overcast clouds
196,Coquimbo,CL,-29.9533,-71.3436,63.32,72,0,9.13,clear sky
197,Zdunska Wola,PL,51.5992,18.9397,39.25,80,7,14.54,clear sky
198,Hongjiang,CN,27.11,109.9956,66.7,85,100,1.52,overcast clouds
199,Mayumba,GA,-3.432,10.6554,76.35,87,65,5.53,broken clouds
200,Tianpeng,CN,30.9866,103.9393,62.94,64,0,2.28,clear sky
201,Bandarbeyla,SO,9.4942,50.8122,79.99,80,96,6.08,overcast clouds
202,Fort-Shevchenko,KZ,44.5086,50.263,48.88,87,3,8.08,clear sky
203,Esperance,AU,-33.8667,121.9,56.55,68,47,8.9,scattered clouds
204,Kodiak,US,57.79,-152.4072,33.49,38,32,4.34,scattered clouds
205,Groton,US,41.3501,-72.0784,57.13,62,15,10.0,few clouds
206,Blagoveshchenka,RU,52.8333,79.8667,31.35,78,1,4.41,clear sky
207,Vryheid,ZA,-27.7695,30.7917,53.91,98,100,1.99,light rain
208,Ust-Uda,RU,54.1742,103.0304,28.85,85,100,6.64,overcast clouds
209,San Quintin,MX,30.4833,-115.95,71.55,55,8,7.96,clear sky
210,Henties Bay,NA,-22.116,14.2845,61.21,79,0,7.83,clear sky
211,Cidreira,BR,-30.1811,-50.2056,69.96,88,82,6.98,broken clouds
212,Nanortalik,GL,60.1432,-45.2371,31.55,77,7,1.99,clear sky
213,Nalut,LY,30.3333,10.85,70.16,24,0,14.29,clear sky
214,Bang Saphan,TH,11.2126,99.5117,74.89,81,94,3.22,overcast clouds
215,Northam,GB,51.0333,-4.2167,39.38,80,78,1.92,broken clouds
216,Myre,NO,69.1036,15.9492,37.35,75,100,4.72,overcast clouds
217,Namatanai,PG,-3.6667,152.4333,79.86,78,100,3.53,overcast clouds
218,Buala,SB,-8.145,159.5921,81.52,75,87,3.8,overcast clouds
219,Acari,PE,-15.4311,-74.6158,77.63,61,32,8.93,scattered clouds
220,Rorvik,NO,64.8621,11.2373,39.63,72,94,10.31,overcast clouds
221,Talnakh,RU,69.4865,88.3972,0.59,98,100,2.95,light snow
222,Calama,CL,-22.4667,-68.9333,69.35,13,0,16.04,clear sky
223,Lata,PT,40.1629,-8.3327,58.82,96,80,1.32,broken clouds
224,Arauco,CL,-37.2463,-73.3175,54.55,90,100,4.45,overcast clouds
225,Susangerd,IR,31.5608,48.1831,75.2,27,0,10.0,clear sky
